GPU_Model,CUDA_Cores,Memory_GB,TFLOPs,Price,Manufacturer
RTX_4090,16384,24,82.6,1599,NVIDIA
RTX_4080,9728,16,48.7,1199,NVIDIA
RTX_4070_Ti,7680,12,40.1,799,NVIDIA
RTX_4070,5888,12,29.1,599,NVIDIA
RTX_4060_Ti,4352,8,22.1,399,NVIDIA
RTX_4060,3072,8,15.1,299,NVIDIA
RTX_3090_Ti,10752,24,40.0,1999,NVIDIA
RTX_3090,10496,24,35.6,1499,NVIDIA
RTX_3080_Ti,10240,12,34.1,1199,NVIDIA
RTX_3080,8704,10,29.8,699,NVIDIA
RTX_3070_Ti,6144,8,21.8,599,NVIDIA
RTX_3070,5888,8,20.4,499,NVIDIA
RTX_3060_Ti,4864,8,16.2,399,NVIDIA
RTX_3060,3584,12,12.7,329,NVIDIA
